candidate_id,canonical_entity_id,canonical_name,entity_type,parent_entity,pi_or_lead,institution,city,country,canonical_url,alternate_urls,active_status,last_activity_evidence,relevance_class,relevance_confidence,primary_topics,secondary_topics,relevance_summary,evidence_url_1,evidence_url_2,evidence_quote_or_paraphrase,relationship_notes,discovery_source,verification_status,count_in_headline,notes
R0002,E-R0002,Fellenz NeuroAI Laboratory,lab,,Lucas Fellenz,National University of Central Buenos Aires (UNCPBA),Tandil,Argentina,https://neuro-ai-lab.intia.exa.unicen.edu.ar/,,LIKELY_ACTIVE,Open doctoral and postdoctoral recruitment call and active research project listings under 'Current Research Projects'.,CORE,high,cognitive-maps;world-models;neural-coding;recurrent-computation;embodied-cognition,planning;sensorimotor-learning;biologically-plausible-learning;memory-retrieval;adaptive-robotics,"Lab explicitly runs Neuro→AI and AI→Neuro programs using brain function and structure to build more adaptable, data-frugal AI, including cognitive maps and algorithms of the brain.",https://neuro-ai-lab.intia.exa.unicen.edu.ar/research,https://neuro-ai-lab.intia.exa.unicen.edu.ar/,"The research page describes Neuro→AI as drawing on brain functions and structures to computationally model new, more effective types of AI, targeting adaptable, data-frugal systems.","Part of INTIA, UNICEN; supported by IBRO, CONICET, Programa Raices.",official lab/research pages + Argentina search,SOURCE_SUPPORTED,1,"Entity identity tied to lab site; PI name only from prior row, not restated in fetched text. | Prior: CORE"
R0003,E-R0003,Computational Neuroscience Laboratory (Adeel Razi),lab,,Adeel Razi,"Monash University, Turner Institute for Brain and Mental Health",Melbourne,Australia,https://research.monash.edu/en/persons/adeel-razi/,https://www.monash.edu/turner-institute/adeel-razi-lab,LIKELY_ACTIVE,,CORE,high,active-inference;free-energy-principle;neural-dynamics;world-models,predictive-coding;decision-making;organoid-intelligence,"Razi's lab uses biological neural network computation to inform the design of novel artificial neural networks under the active inference framework, alongside generative brain models.",https://research.monash.edu/en/persons/adeel-razi/,https://research.monash.edu/en/persons/adeel-razi/,The Monash profile states the lab exploits understanding of how biological neural networks process and compute information to inform design of novel artificial neural networks using active inference.,Turner Institute; prior row pointed to a lab page that returned 403.,Australia NeuroAI search; official Monash pages,SOURCE_SUPPORTED,1,Lab page blocked; relevance mechanism verified via Monash profile page. Prior row labeled the lab 'Adeel Razi Laboratory'; fetched text uses 'Computational Neuroscience Laboratory'. | Prior: CORE
R0004,E-R0004,Cerenaut,company_research,,Gideon Kowadlo,Cerenaut,Melbourne,Australia,https://cerenaut.ai/,,LIKELY_ACTIVE,,CORE,high,hippocampal-replay;continual-learning;world-models;offline-learning;credit-assignment,complementary-learning-systems;representation-learning,"Prior row claims Cerenaut derives learning rules and architectures from neuroscience including hippocampal replay, but no fetched page text confirms identity or mechanism.",https://cerenaut.ai/,https://cerenaut.ai/team/,"Cerenaut identifies itself as an independent AI/neuroscience/psychology research group and lists ARROW, which applies hippocampal replay to continual reinforcement learning.","Founders listed in prior row (Kowadlo, Rawlinson) unverified from page text.",Australia final saturation sweep; official Cerenaut site and team page,SOURCE_SUPPORTED,1,"Website blocked (403); cannot confirm active status, PI roster, or ARROW replay work. | Prior: CORE | Luna High round: PROMOTE / Fresh official Cerenaut pages support independent-group identity and a substantive hippocampal-replay-to-AI mechanism. | Gate: Cerenaut presents itself as an independent AI/neuroscience research group and its ARROW system applies hippocampal replay to continual reinforcement learning, a clear neuroscience-to-AI mechanism."
R0006,E-R0006,Computing and Audio Research Laboratory (CARLab),lab,,Craig Jin,The University of Sydney,Sydney,Australia,https://www.carlabsite.org/,https://www.sydney.edu.au/engineering/our-research/laboratories-and-facilities/computing-and-audio-research-laboratory.html,LIKELY_ACTIVE,,DIRECTLY_RELEVANT,medium,neuromorphic-computing;spiking-neural-networks;neural-coding;event-driven-computation;sensorimotor-learning,biohybrid-intelligence;physical-neural-networks,CARLab's neuromorphic engineering line investigates biological auditory processing and applies biology-derived principles to electronic cochleae and spiking networks.,https://www.carlabsite.org/,https://www.sydney.edu.au/engineering/our-research/laboratories-and-facilities/computing-and-audio-research-laboratory.html,"The CARLab site states its neuromorphic engineering research investigates biological auditory processing and applies principles learned from biology to electronic systems, focused on a 2D electronic cochlea and spiking networks.",Collaborates with Auditory Neuroscience Laboratory and Acoustics Research Laboratory at Sydney.,Australia final directory sweep; official University/CARLab pages,SOURCE_SUPPORTED,1,BioElectronics and bio-signal classification components are adjacent; neuromorphic auditory line provides the biology-to-substrate link. No dated 2024-2026 signal; carlabsite copyright 2022. | Prior: CORE
R0007,E-R0007,Cortical Labs,company_research,,Brett Kagan,Cortical Labs,Melbourne,Australia,https://www.corticallabs.com/,,ACTIVE,"Current CL1 product offering, Cortical Cloud platform sign-up, and page copyright dated 2026.",CORE,high,cultured-neural-computing;organoid-intelligence;biohybrid-intelligence;wetware,feedback-alignment,"Cortical Labs builds a code-deployable biological computer using lab-grown neurons on silicon chips in closed-loop learning tasks, a direct biology-to-computational-substrate program.",https://www.corticallabs.com/,https://www.corticallabs.com/,The company page states it combines lab-grown neurons with silicon chips to create the world's first code-deployable biological computer whose neurons learn tasks such as Pong.,Commercial biocomputing platform; Pong learning anecdote from 2021.,company/nonprofit official-site sweep,SOURCE_SUPPORTED,1,"Specific experimental claims (e.g., Pong learning) are company-framed; PI name only from prior row. | Prior: CORE"
R0009,E-R0009,Intelligent Computing and Systems Lab,lab,,Shiping Wen,University of Technology Sydney,Sydney,Australia,https://www.uts.edu.au/research/centres/australian-artificial-intelligence-institute/our-research/our-research-labs/intelligent-computing-and-systems,,LIKELY_ACTIVE,,CORE,high,neuromorphic-computing;spiking-neural-networks;memristive-computing;biologically-plausible-learning,on-chip-learning;compression;dendritic-computation,UTS's ICS Lab designs memristor-based neural networks and neuromorphic circuits to implement brain-inspired computing and improved deep learning algorithms.,https://www.uts.edu.au/research/centres/australian-artificial-intelligence-institute/our-research/our-research-labs/intelligent-computing-and-systems,https://www.uts.edu.au/research/centres/australian-artificial-intelligence-institute/our-research/our-research-labs/intelligent-computing-and-systems,"The UTS ICS Lab page states the lab drives theoretical and practical innovation in circuit design, dynamic analysis, and applications of memristor-based neural networks, neuromorphic computing, and brain-inspired computing.",Part of UTS Australian Artificial Intelligence Institute; distinct from UTS Computational Intelligence and Brain Computer Interface Lab.,Australia final directory sweep; official UTS lab directory,SOURCE_SUPPORTED,1,"Page text supports lab identity and neuromorphic/brain-inspired computing focus, but no dated 2024-2026 output is present. | Prior: CORE"
R0010,E-R0010,International Centre for Neuromorphic Systems,center,,André van Schaik,Western Sydney University,Penrith,Australia,https://www.westernsydney.edu.au/icns,,ACTIVE,ICNS homepage announces the Deep South Supercomputer for brain-scale simulation; van Schaik profile lists 2025 neuromorphic publications.,CORE,high,neuromorphic-computing;event-based-vision;spiking-neural-networks,event-driven-computation;physical-neural-networks;adaptive-robotics;sensorimotor-learning,"ICNS studies and mimics biological brains and sensory organs to engineer compact, efficient artificial neural networks and neuromorphic sensors/processors, including a brain-scale simulation supercomputer.",https://www.westernsydney.edu.au/icns,https://www.westernsydney.edu.au/icns/about/people/researchers/professor-andre-van-schaik,"The ICNS homepage states the centre studies and mimics biological brains and sensory organs to engineer compact, robust, efficient artificial neural networks, and announces a supercomputer capable of simulating networks at human-brain scale.","Part of MARCS Institute for Brain, Behaviour, and Development; André van Schaik listed as adjunct professor affiliated with ICNS.",Australia institutional search; official WSU pages,SOURCE_SUPPORTED,1,"Page text supports centre identity, neuromorphic/brain-inspired mechanism, and current activity. | Prior: CORE"
R0012,E-R0012,Rideaux Lab,lab,,Reuben Rideaux,The University of Sydney,Sydney,Australia,https://www.sydney.edu.au/science/schools/school-of-psychology/research/rideaux-lab.html,,LIKELY_ACTIVE,,CORE,high,biologically-plausible-learning;representation-learning,predictive-coding;efficient-coding,The Rideaux Lab studies design principles of the brain and explicitly applies discoveries in biological sensory systems to advance artificial intelligence models.,https://www.sydney.edu.au/science/schools/school-of-psychology/research/rideaux-lab.html,https://www.sydney.edu.au/science/schools/school-of-psychology/research/rideaux-lab.html,"The lab page states the group studies design principles of the brain with the aim to understand their role in psychopathology and how they can be used to advance artificial intelligence, applying biological system discoveries to improve AI.",Distinct from Sydney CARLab according to prior row; official page lists Dr Reuben Rideaux as group leader.,Australia focused developmental/plasticity and sensory-AI sweep; official University of Sydney lab page,SOURCE_SUPPORTED,1,Page text supports lab identity and a biology-to-AI mechanism; no dated 2024-2026 output appears in the supplied text. | Prior: CORE
R0015,E-R0015,Artificial Life Laboratory – Graz,lab,,Thomas Schmickl,"University of Graz, Institute of Biology",Graz,Austria,https://alife.uni-graz.at/,,LIKELY_ACTIVE,"Homepage lists BioDiMoBot and RoboRoyale EU projects, but no dated 2024-2026 activity signal appears in supplied text.",CORE,high,artificial-life;swarm-intelligence;collective-intelligence,self-organization;evolutionary-robotics,"The Graz Artificial Life Lab specializes in swarm intelligence, experimenting with real animal swarms and implementing findings in simulated and real robotic swarms.",https://alife.uni-graz.at/,https://alife.uni-graz.at/,"The lab homepage states it is an interdisciplinary group specializing in swarm intelligence, focusing on experiments with real swarm-intelligent animals and implementation of findings in simulated and real robotic swarms.","Part of Institute of Biology, Section Zoology, University of Graz.",geography sweep; seed-gap reconciliation,SOURCE_SUPPORTED,1,Page supports lab identity and biology-to-robotics/AI relevance; no dated recent output in supplied text. | Prior: CORE
R0016,E-R0016,Dynamics of Neural Systems Lab (DONSlab),lab,,Adam Gosztolai,Medical University of Vienna,Vienna,Austria,https://caim.meduniwien.ac.at/labs/donslab-gosztolai-group/,,LIKELY_ACTIVE,"Page shows copyright 2026 Medizinische Universität Wien, indicating current site maintenance; no specific dated 2024-2026 output in supplied text.",CORE,high,neural-dynamics;representation-learning,,DONSlab seeks to understand the dynamical processes underpinning neural computations and reverse-engineer the dynamical systems behind cognitive processes to develop more advanced AI systems.,https://caim.meduniwien.ac.at/labs/donslab-gosztolai-group/,https://caim.meduniwien.ac.at/labs/donslab-gosztolai-group/,The group page states the lab reverse-engineers the dynamical systems underpinning cognitive processes to develop more advanced AI systems that benefit clinical applications such as brain-machine interfaces.,Part of the Comprehensive Center for AI in Medicine (CAIM) at Medical University of Vienna.,country sweep; official Medical University of Vienna lab page,SOURCE_SUPPORTED,1,Page text supports lab identity and brain-to-AI mechanism; active status likely based on current institutional listing. | Prior: STRONGLY RELATED
