canonical_name,entity_type,pi_or_lead,institution,country,city,canonical_url,relevance_class,primary_topics,secondary_topics,relevance_summary,evidence_url_1,evidence_url_2,active_as_of,discovered_via,notes,name,primary_field,secondary_fields,country_or_region,current_affiliation,landmark_contribution,consensus_class,consensus_evidence_1_url,consensus_evidence_2_url,canonical_website,website_type,website_status,maintenance_evidence,active_as_of,hamming_tags,newell_coherence,life_question,life_question_basis,life_question_evidence_url,discovered_via,confidence,notes
Souleymane Bachir Diagne,researcher,Souleymane Bachir Diagne,"Columbia University, Professor Emeritus of Philosophy and French; former Director, Institute of African Studies",Senegal / France / United States / Africa,,https://philosophy.columbia.edu/content/souleymane-bachir-diagne,CORE,African philosophy / Islamic philosophy,history of logic; French philosophy; literature,"African, Islamic, French, and analytic philosophy joined through work on logic, universalism, pluralism, and Senegalese intellectual history.",https://philosophy.columbia.edu/content/souleymane-bachir-diagne,https://publication.codesria.org/index.php/pub/catalog/book/40,2026-09-20,late_humanities_social_3_candidates.csv final bounded saturation frame; independent web verification,Living status/current Columbia emeritus activity verified; CODESRIA publication record is an independent African scholarly consensus/adoption source.,Souleymane Bachir Diagne,African philosophy / Islamic philosophy,history of logic; French philosophy; literature,Senegal / France / United States / Africa,"Columbia University, Professor Emeritus of Philosophy and French; former Director, Institute of African Studies","African, Islamic, French, and analytic philosophy joined through work on logic, universalism, pluralism, and Senegalese intellectual history.",field_consensus,https://philosophy.columbia.edu/content/souleymane-bachir-diagne,https://publication.codesria.org/index.php/pub/catalog/book/40,https://philosophy.columbia.edu/content/souleymane-bachir-diagne,institutional scholarly profile,active_maintained,"Columbia profile lists current emeritus status, books, research interests, and recent teaching; Institute of African Studies page documents institutional leadership and scholarly role.",2026-09-20,important_attackable_problem;generative_work_others_build_on;nonincremental_contribution;conceptual_reframing;repeated_research_judgment;clear_communication,strong,"How can universal reason be forged across African, Islamic, and European intellectual traditions?",research_program_inference,https://philosophy.columbia.edu/content/souleymane-bachir-diagne,late_humanities_social_3_candidates.csv final bounded saturation frame; independent web verification,high,Living status/current Columbia emeritus activity verified; CODESRIA publication record is an independent African scholarly consensus/adoption source.
Johan Swinnen,researcher,Johan Swinnen,International Food Policy Research Institute; KU Leuven,Belgium,,https://www.ifpri.org/profile/johan-swinnen/,CORE,agricultural economics; food policy,political economy; trade; value chains,"Influential research on agricultural transition, food policy, value chains, trade and global food-system governance.",https://www.ifpri.org/profile/johan-swinnen/,https://www.eaae.org/awards/,2026-09-20,late_life_earth_2_candidates.csv;independent award/academy/canonical synthesis search,"AAEA/EAAE recognition, canonical books and policy use through IFPRI/World Bank/FAO support field consensus.",Johan Swinnen,agricultural economics; food policy,political economy; trade; value chains,Belgium,International Food Policy Research Institute; KU Leuven,"Influential research on agricultural transition, food policy, value chains, trade and global food-system governance.",field_consensus,https://www.ifpri.org/profile/johan-swinnen/,https://www.eaae.org/awards/,https://www.ifpri.org/profile/johan-swinnen/,substantive_institutional_page,active_maintained,"IFPRI profile has current director-general role, 2026 publications and awards; crawled 2026-09-20.",2026-09-20,important_attackable_problem;generative_work_others_build_on;nonincremental_contribution;conceptual_reframing;repeated_research_judgment;clear_communication,strong,"How do institutions, markets, and political power shape agricultural and food-system transformation across countries?",research_program_inference,https://www.ifpri.org/profile/johan-swinnen/,late_life_earth_2_candidates.csv;independent award/academy/canonical synthesis search,high,"AAEA/EAAE recognition, canonical books and policy use through IFPRI/World Bank/FAO support field consensus."
Prabhu Pingali,researcher,Prabhu Pingali,Cornell University; Tata-Cornell Institute,India / United States,,https://economics.cornell.edu/prabhu-pingali,CORE,agricultural economics; food systems,nutrition; rural development; policy,"Field-shaping work on agricultural intensification, food systems, nutrition and rural development across Asia and Africa.",https://economics.cornell.edu/prabhu-pingali,https://www.ifpri.org/profile/prabhu-pingali/,2026-09-20,late_life_earth_2_candidates.csv;independent award/academy/canonical synthesis search,NAS recognition plus decades of international agricultural policy adoption and canonical books support field consensus.,Prabhu Pingali,agricultural economics; food systems,nutrition; rural development; policy,India / United States,Cornell University; Tata-Cornell Institute,"Field-shaping work on agricultural intensification, food systems, nutrition and rural development across Asia and Africa.",field_consensus,https://economics.cornell.edu/prabhu-pingali,https://www.ifpri.org/profile/prabhu-pingali/,https://economics.cornell.edu/prabhu-pingali,substantive_institutional_page,active_maintained,"Cornell profile lists current professor/director role, NAS membership and ongoing food-policy scholarship; crawled 2026-09-20.",2026-09-20,important_attackable_problem;generative_work_others_build_on;nonincremental_contribution;conceptual_reframing;repeated_research_judgment;clear_communication,strong,How can agricultural transformation improve food security and nutrition without reproducing rural poverty or ecological damage?,research_program_inference,https://economics.cornell.edu/prabhu-pingali,late_life_earth_2_candidates.csv;independent award/academy/canonical synthesis search,high,NAS recognition plus decades of international agricultural policy adoption and canonical books support field consensus.
Efim Zelmanov,researcher,Efim Zelmanov,Southern University of Science and Technology Shenzhen; Chair Professor and Director of the Shenzhen International Center for Mathematics,China; Russian-born; formerly United States,,https://faculty.sustech.edu.cn/efim/en/,CORE,Algebra,Group theory; Jordan and Lie algebras; nonassociative algebra; profinite groups; combinatorial algebra,Solved the restricted Burnside problem for all prime-power exponents by importing Lie-algebra and combinatorial identity methods into group theory; earlier classified infinite-dimensional simple Jordan algebras and superalgebras; later opened the study of growth and self-similarity in infinite-dimensional algebras,https://www.mathunion.org/imu-awards/fields-medal/fields-medals-1994,https://www.mathunion.org/fileadmin/ICM/Proceedings/ICM1994.1/ICM1994.1.ocr.pdf,2026-09-20,F1 Fields Medal roster 1978-2026; independent Codex verification,arXiv preprints dated 2026-07-12 and 2026-06-06 confirm living status; Independent consensus-family repair: The ICM Proceedings article 'On the Work of Efim Zelmanov' by Walter Feit surveys the Jordan-algebra and restricted-Burnside contributions and explains their mathematical significance.,Efim Zelmanov,Algebra,Group theory; Jordan and Lie algebras; nonassociative algebra; profinite groups; combinatorial algebra,China; Russian-born; formerly United States,Southern University of Science and Technology Shenzhen; Chair Professor and Director of the Shenzhen International Center for Mathematics,Solved the restricted Burnside problem for all prime-power exponents by importing Lie-algebra and combinatorial identity methods into group theory; earlier classified infinite-dimensional simple Jordan algebras and superalgebras; later opened the study of growth and self-similarity in infinite-dimensional algebras,broad_consensus,https://www.mathunion.org/imu-awards/fields-medal/fields-medals-1994,https://www.mathunion.org/fileadmin/ICM/Proceedings/ICM1994.1/ICM1994.1.ocr.pdf,https://faculty.sustech.edu.cn/efim/en/,personally_controlled_institutional_faculty_page,current_evergreen,Carries his current titles including Foreign Member of the Chinese Academy of Sciences and Director of the International Center for Mathematics - both reflecting his post-2021 and post-2022 roles; lists research areas and a personally curated bibliography,2026-09-20,important_attackable_problem;generative_work_others_build_on;nonincremental_contribution;conceptual_reframing;repeated_research_judgment,strong,When do local or finiteness conditions on a group or an algebra force global structure,research_program_inference,https://www.sustech.edu.cn/en/faculties/efimzelmanov.html,F1 Fields Medal roster 1978-2026; independent Codex verification,high,arXiv preprints dated 2026-07-12 and 2026-06-06 confirm living status; Independent consensus-family repair: The ICM Proceedings article 'On the Work of Efim Zelmanov' by Walter Feit surveys the Jordan-algebra and restricted-Burnside contributions and explains their mathematical significance.
Shigefumi Mori,researcher,Shigefumi Mori,Kyoto University Institute for Advanced Study; Director-General and Distinguished Professor,Japan,,https://kuias.kyoto-u.ac.jp/e/profile/mori/,CORE,Algebraic geometry,Birational geometry; classification of higher-dimensional varieties; minimal model theory,Created the Minimal Model Program: proved the Hartshorne conjecture using bend-and-break; established the cone and contraction theorems and extremal rays; proved the existence of flips for 3-folds - completing the birational classification of three-dimensional varieties,https://www.mathunion.org/imu-awards/fields-medal/fields-medals-1990,https://doi.org/10.1112/BLMS/BDQ126,2026-09-20,F1 Fields Medal roster 1978-2026; independent Codex verification,"Current institutional appointment to 2027 confirms living status; Independent consensus-family repair: The Fields Medal and London Mathematical Society honorary-member pages are recognition records in the same family. The independent Bulletin of the London Mathematical Society exposition presents Mori's minimal model program, cone and contraction results, and the theory of flips as the framework's central results.",Shigefumi Mori,Algebraic geometry,Birational geometry; classification of higher-dimensional varieties; minimal model theory,Japan,Kyoto University Institute for Advanced Study; Director-General and Distinguished Professor,Created the Minimal Model Program: proved the Hartshorne conjecture using bend-and-break; established the cone and contraction theorems and extremal rays; proved the existence of flips for 3-folds - completing the birational classification of three-dimensional varieties,broad_consensus,https://www.mathunion.org/imu-awards/fields-medal/fields-medals-1990,https://doi.org/10.1112/BLMS/BDQ126,https://kuias.kyoto-u.ac.jp/e/profile/mori/,institutional_profile,active_maintained,Lists his present post as KUIAS Director-General with full honours list including LMS Honorary Member 2024 and the Basic Science Lifetime Award 2025; corroborated by the Kyoto University officers page giving his current term 1 April 2025 to 31 March 2027,2026-09-20,important_attackable_problem;generative_work_others_build_on;nonincremental_contribution;conceptual_reframing;repeated_research_judgment,strong,Can every algebraic variety be reduced to a canonical minimal model so that higher-dimensional varieties admit a birational classification,biographical_synthesis,https://www.lms.ac.uk/news/lms-honorary-members-2024,F1 Fields Medal roster 1978-2026; independent Codex verification,high,"Current institutional appointment to 2027 confirms living status; Independent consensus-family repair: The Fields Medal and London Mathematical Society honorary-member pages are recognition records in the same family. The independent Bulletin of the London Mathematical Society exposition presents Mori's minimal model program, cone and contraction results, and the theory of flips as the framework's central results."
Vladimir Drinfeld,researcher,Vladimir Drinfeld,University of Chicago; Harry Pratt Judson Distinguished Service Professor of Mathematics,United States; Ukrainian-born,,https://mathematics.uchicago.edu/people/profile/vladimir-drinfeld1/,CORE,Algebraic geometry and representation theory,Number theory; the Langlands program; quantum groups; mathematical physics,Introduced shtukas and proved the global Langlands correspondence for GL(2) over function fields; invented quantum groups and the Drinfeld double; co-created the geometric Langlands program with Laumon and the chiral-algebra formalism with Beilinson; co-authored the ADHM construction of instantons,https://www.mathunion.org/imu-awards/fields-medal/fields-medals-1990,https://www.mathunion.org/fileadmin/ICM/Proceedings/ICM1990.1/ICM1990.1.ocr.pdf,2026-09-20,F1 Fields Medal roster 1978-2026; independent Codex verification,Single-author arXiv preprints 2025-10-06 and 2025-04-30 confirm living status; Independent consensus-family repair: The Fields Medal and National Academy of Sciences pages are recognition records in the same family. Yuri I. Manin's ICM 1990 proceedings article surveys Drinfeld's Langlands and quantum-group work and calls it a decisive breakthrough that prompted substantial subsequent research.,Vladimir Drinfeld,Algebraic geometry and representation theory,Number theory; the Langlands program; quantum groups; mathematical physics,United States; Ukrainian-born,University of Chicago; Harry Pratt Judson Distinguished Service Professor of Mathematics,Introduced shtukas and proved the global Langlands correspondence for GL(2) over function fields; invented quantum groups and the Drinfeld double; co-created the geometric Langlands program with Laumon and the chiral-algebra formalism with Beilinson; co-authored the ADHM construction of instantons,broad_consensus,https://www.mathunion.org/imu-awards/fields-medal/fields-medals-1990,https://www.mathunion.org/fileadmin/ICM/Proceedings/ICM1990.1/ICM1990.1.ocr.pdf,https://mathematics.uchicago.edu/people/profile/vladimir-drinfeld1/,institutional_faculty_profile,active_maintained,First-person research statement on the geometric Langlands program and character sheaves for unipotent groups; News item on his Shaw Prize dated 22 January 2024; current title office and department email; page footer dated 2026,2026-09-20,important_attackable_problem;generative_work_others_build_on;nonincremental_contribution;conceptual_reframing;repeated_research_judgment,strong,How can the Langlands correspondence between automorphic forms and Galois representations be realised geometrically,research_program_inference,https://mathematics.uchicago.edu/people/profile/vladimir-drinfeld1/,F1 Fields Medal roster 1978-2026; independent Codex verification,high,Single-author arXiv preprints 2025-10-06 and 2025-04-30 confirm living status; Independent consensus-family repair: The Fields Medal and National Academy of Sciences pages are recognition records in the same family. Yuri I. Manin's ICM 1990 proceedings article surveys Drinfeld's Langlands and quantum-group work and calls it a decisive breakthrough that prompted substantial subsequent research.
James Maynard,researcher,James Maynard,University of Oxford; Regius Professor of Mathematics from 1 October 2026; Supernumerary Fellow of St John's College,United Kingdom,,https://www.sjc.ox.ac.uk/discover/people/professor-james-maynard/,CORE,Analytic number theory,Sieve methods; Diophantine approximation; prime distribution,Invented a new multidimensional sieve that gave bounded gaps between primes and large gaps between primes; proved the Duffin-Schaeffer conjecture with Koukoulopoulos; obtained primes with missing digits and new bounds on zeros of the zeta function,https://www.mathunion.org/imu-awards/fields-medal/fields-medals-2022,https://www.cambridge.org/core/books/abs/bounded-gaps-between-primes/maynards-radical-simplification/08BEC284C2BDC87E62C24D8C25D4D238,2026-09-20,F1 Fields Medal roster 1978-2026; independent Codex verification,"Royal Society Fellow 2023 with an active committee term to December 2026; Independent consensus-family repair: Cambridge University Press's chapter by Kevin Broughan, 'Maynard's Radical Simplification,' gives an independent mathematical account of the bounded-gaps breakthrough and its role in the subsequent Polymath refinements.",James Maynard,Analytic number theory,Sieve methods; Diophantine approximation; prime distribution,United Kingdom,University of Oxford; Regius Professor of Mathematics from 1 October 2026; Supernumerary Fellow of St John's College,Invented a new multidimensional sieve that gave bounded gaps between primes and large gaps between primes; proved the Duffin-Schaeffer conjecture with Koukoulopoulos; obtained primes with missing digits and new bounds on zeros of the zeta function,broad_consensus,https://www.mathunion.org/imu-awards/fields-medal/fields-medals-2022,https://www.cambridge.org/core/books/abs/bounded-gaps-between-primes/maynards-radical-simplification/08BEC284C2BDC87E62C24D8C25D4D238,https://www.sjc.ox.ac.uk/discover/people/professor-james-maynard/,institutional_profile,current_evergreen,Multi-paragraph biography and research description rather than a bare listing; current roles and post-2023 FRS designation present so updated since mid-2023; corroborated by an Oxford Mathematical Institute news item of 1 July 2026 announcing his Regius Professorship,2026-09-20,important_attackable_problem;generative_work_others_build_on;nonincremental_contribution;repeated_research_judgment;clear_communication,strong,How are the prime numbers distributed and what governs the gaps between them,biographical_synthesis,https://royalsociety.org/people/james-maynard-36190/,F1 Fields Medal roster 1978-2026; independent Codex verification,high,"Royal Society Fellow 2023 with an active committee term to December 2026; Independent consensus-family repair: Cambridge University Press's chapter by Kevin Broughan, 'Maynard's Radical Simplification,' gives an independent mathematical account of the bounded-gaps breakthrough and its role in the subsequent Polymath refinements."
Koichi Tanaka,researcher,Koichi Tanaka,"Shimadzu Corporation, Executive Research Fellow; Director, Koichi Tanaka Memorial Mass Spectrometry Research Laboratory",Japan,,https://www.shimadzu.com/mass-research/,CORE,analytical chemistry and mass spectrometry,soft ionization; proteomics; biomolecular analysis; instrumentation,Developed soft laser-desorption ionization methods that made mass-spectrometric analysis of large biological macromolecules such as proteins practical.,https://www.nobelprize.org/prizes/chemistry/2002/tanaka/facts/,https://www.jst.go.jp/20th/magazine/all-en.pdf,2026-09-20,nobel_nosite_verify_batch_4.csv; independent web verification,Japan Science and Technology Agency independently documents the method and current role; Shimadzu page provides current laboratory activity and living status.,Koichi Tanaka,analytical chemistry and mass spectrometry,soft ionization; proteomics; biomolecular analysis; instrumentation,Japan,"Shimadzu Corporation, Executive Research Fellow; Director, Koichi Tanaka Memorial Mass Spectrometry Research Laboratory",Developed soft laser-desorption ionization methods that made mass-spectrometric analysis of large biological macromolecules such as proteins practical.,broad_consensus,https://www.nobelprize.org/prizes/chemistry/2002/tanaka/facts/,https://www.jst.go.jp/20th/magazine/all-en.pdf,https://www.shimadzu.com/mass-research/,institutional laboratory website,active_maintained,"Shimadzu laboratory page has current publications/news including September 2026 updates, describes ongoing MALDI-MS research, and identifies Tanaka's laboratory.",2026-09-20,important_attackable_problem;generative_work_others_build_on;nonincremental_contribution;conceptual_reframing;repeated_research_judgment;clear_communication,strong,How can ionization methods reveal the structures of biological macromolecules?,research_program_inference,https://www.shimadzu.com/mass-research/,nobel_nosite_verify_batch_4.csv; independent web verification,high,Japan Science and Technology Agency independently documents the method and current role; Shimadzu page provides current laboratory activity and living status.
Napoleone Ferrara,researcher,Napoleone Ferrara,University of California San Diego; Distinguished Professor of Pathology; Hildyard Endowed Chair in Eye Disease,United States; Italian-born,,https://profiles.ucsd.edu/napoleone.ferrara,CORE,Angiogenesis biology,Vascular biology; ophthalmology therapeutics; oncology drug development,Isolated and cloned VEGF and showed that blocking it suppresses pathological angiogenesis; producing bevacizumab for cancer and ranibizumab for neovascular age-related macular degeneration,https://laskerfoundation.org/winners/anti-vegf-therapy-for-wet-macular-degeneration/,https://www.nice.org.uk/guidance/ta155,2026-09-20,F5 Lasker-DeBakey Clinical Medical Research Award roster; clinical-guideline verification; independent Codex verification,Senior author on a 2026 angiogenesis paper,Napoleone Ferrara,Angiogenesis biology,Vascular biology; ophthalmology therapeutics; oncology drug development,United States; Italian-born,University of California San Diego; Distinguished Professor of Pathology; Hildyard Endowed Chair in Eye Disease,Isolated and cloned VEGF and showed that blocking it suppresses pathological angiogenesis; producing bevacizumab for cancer and ranibizumab for neovascular age-related macular degeneration,broad_consensus,https://laskerfoundation.org/winners/anti-vegf-therapy-for-wet-macular-degeneration/,https://www.nice.org.uk/guidance/ta155,https://profiles.ucsd.edu/napoleone.ferrara,personally_controlled_academic_faculty_profile,active_maintained,Current title and endowed chair; a first-person research overview; live UCSD e-mail and ORCID; a current research-funding entry; awards list updated through 2025 and 2026,2026-09-20,important_attackable_problem;generative_work_others_build_on;nonincremental_contribution;conceptual_reframing;repeated_research_judgment,strong,What governs the growth of blood vessels - and how far can that basic physiology be carried into therapies that preserve sight and restrain tumours,explicit_self_statement,https://laskerfoundation.org/winners/anti-vegf-therapy-for-wet-macular-degeneration/#remarks,F5 Lasker-DeBakey Clinical Medical Research Award roster; clinical-guideline verification; independent Codex verification,high,Senior author on a 2026 angiogenesis paper
R. Michael Roberts,researcher,R. Michael Roberts,"University of Missouri, Chancellor’s Professor Emeritus",United States,,https://cafnr.missouri.edu/endowed-and-distinguished-professors/,CORE,animal science and reproductive biology,biochemistry; embryology; pregnancy; livestock biotechnology,"Discovered interferon-tau and other pregnancy-associated signals clarifying embryo–maternal communication, with major effects on reproductive biology and agriculture.",https://wolffund.org.il/r-michael-roberts/,https://cafnr.missouri.edu/endowed-and-distinguished-professors/,2026-09-20,expanded major-award lead,Living status and award are clear; current institutional page is substantive but the older lab lead is not reliably maintained.,R. Michael Roberts,animal science and reproductive biology,biochemistry; embryology; pregnancy; livestock biotechnology,United States,"University of Missouri, Chancellor’s Professor Emeritus","Discovered interferon-tau and other pregnancy-associated signals clarifying embryo–maternal communication, with major effects on reproductive biology and agriculture.",broad_consensus,https://wolffund.org.il/r-michael-roberts/,https://cafnr.missouri.edu/endowed-and-distinguished-professors/,https://cafnr.missouri.edu/endowed-and-distinguished-professors/,substantive_institutional_profile,current_evergreen,Current MU CAFNR page lists him among Chancellor’s Professors; current CAFNR/Bond reports document continuing scholarly recognition and reproductive-biology work.,2026-09-20,important_attackable_problem;generative_work_others_build_on;nonincremental_contribution;conceptual_reframing;repeated_research_judgment;clear_communication,strong,How do embryos communicate with the mother to establish pregnancy and support healthy development?,research_program_inference,https://wolffund.org.il/r-michael-roberts/,expanded major-award lead,medium,Living status and award are clear; current institutional page is substantive but the older lab lead is not reliably maintained.
